Path,ComputerNameRule,ComputerDomainRule,Priority
/UQ/10-Science/058-GPEM,%,%geosciplng%,50
/UQ/10-Science/058-GPEM,gpem%,%,50
/UQ/10-Science/058-GPEM,sees-% ,%,50
/UQ/10-Science/059-GPEMGEM,,,
/UQ/10-Science/059-GPEMGEM/02-QCPR,,,
/UQ/10-Science/059-GPEMGEM/03-ClimateResearch,,,
/UQ/10-Science/059-GPEMGEM/04-CSER,,,
/UQ/10-Science/059-GPEMGEM/05-NSISS,,,
/UQ/10-Science/059-GPEMGEM/09-NCRISTERN,,,
/UQ/10-Science/059-GPEMGEM/10-EPRG,,,
/UQ/10-Science/060-GPEM-SGPE,,,
/UQ/10-Science/061-SMP,maths%,%,50
/UQ/10-Science/061-SMP,phy%,%,50
/UQ/10-Science/061-SMP,smp%,%,50
/UQ/10-Science/061-SMP/77-QCIF,maths-qcif%,%,25
/UQ/10-Science/062-SMPPhysics,,,
/UQ/10-Science/062-SMPPhysics/02-Astro,,,
/UQ/10-Science/062-SMPPhysics/03-BiophotonicsLaser,,,
/UQ/10-Science/062-SMPPhysics/04-CondensedMatter,,,
/UQ/10-Science/062-SMPPhysics/05-QAO,,,
/UQ/10-Science/062-SMPPhysics/06-QC,,,
/UQ/10-Science/062-SMPPhysics/07-QIS,,,
/UQ/10-Science/062-SMPPhysics/08-QNS,,,
/UQ/10-Science/062-SMPPhysics/09-QSL,,,
/UQ/10-Science/062-SMPPhysics/10-LaserDiag,,,
/UQ/10-Science/062-SMPPhysics/11-LabPhysWkshop,,,
/UQ/10-Science/062-SMPPhysics/12-Xero,,,
/UQ/10-Science/063-SMPMaths,,,
/UQ/10-Science/063-SMPMaths/02-FinMath,,,
/UQ/10-Science/063-SMPMaths/03-Stats,,,
/UQ/10-Science/063-SMPMaths/04-AppMath,,,
/UQ/10-Science/063-SMPMaths/05-MathPhy,,,
/UQ/10-Science/063-SMPMaths/06-DiscreteMaths,,,
/UQ/10-Science/063-SMPMaths/07-PureMath,,,
/UQ/10-Science/063-SMPMaths/08-MathModl,,,
/UQ/10-Science/063-SMPMaths/09-CompSci,,,
/UQ/10-Science/063-SMPMaths/10-CARM,maths-carm%,%,25
/UQ/10-Science/064-SMPQCT,,,
/UQ/10-Science/065-SMPACQAO,,,
/UQ/10-Science/066-SMPMASCOS,,,
/UQ/10-Science/067-Earth,earth%,%,50
/UQ/10-Science/067-Earth,erth%,%,50
/UQ/10-Science/068-EarthESSCC,,,
/UQ/10-Science/069-CMM,cmm%,%,50
/UQ/10-Science/070-CMR,,,
/UQ/10-Science/071-CILR,%cilr%,%,50
/UQ/10-Science/072-CIPDD,cipdd%,%,50
/UQ/10-Science/072-CIPDD,tetraq%,%,50
/UQ/10-Science/072-CIPDD,mabs-dd%,%,50
/UQ/10-Science/072-CIPDD,mabs-tq%,%,50
/UQ/10-Science/072-CIPDD,mbs-dd%,%,50
/UQ/10-Science/072-CIPDD,mbs-tq%,%,50
/UQ/10-Science/073-ABEID,,,
/UQ/10-Science/074-PEA,,,
/UQ/10-Science/075-TERN,tern%,%,50
/UQ/10-Science/076-EQuS,phy_-equs%,%,25
/UQ/10-Science/077-CBCS,cbcs%,%,50
/UQ/10-Science/260-SVS,vet%,%,50
/UQ/10-Science/260-SVS,svs-%,%,50
/UQ/10-Science/266-SAFS,lafs%,%,50
/UQ/10-Science/266-SAFS,lcafs%,%,50
/UQ/10-Science/266-SAFS,nrsm%,%,50
/UQ/10-Science/266-SAFS,safs%,%,50
/UQ/10-Science/266-SAFS,sis%,%,50
/UQ/10-Science/266-SAFS/11-NativeForiculture,,,
/UQ/10-Science/266-SAFS/12-Rangelands,,,
/UQ/10-Science/266-SAFS/13-Pesticide,,,
/UQ/10-Science/266-SAFS/15-Poultry,,,
/UQ/20-Health,HS-%,%,75
/UQ/20-Health/082-FHS,FHS%,%,50
/UQ/20-Health/082-FHS,HS-20020%,%,50
/UQ/20-Health/082-FHS,HS-A082%,%,50
/UQ/20-Health/083-Dentistry,DENT%,%,50
/UQ/20-Health/083-Dentistry,HS-A083%,%,50
/UQ/20-Health/083-Dentistry,habs-de%,%,50
/UQ/20-Health/084-SHRS,HS-20084%,%,50
/UQ/20-Health/084-SHRS,HS-A084%,%,50
/UQ/20-Health/084-SHRS,SHRS%,%,50
/UQ/20-Health/084-SHRS,habs-hr%,%,50
/UQ/20-Health/085-HMS,HMS%,%,50
/UQ/20-Health/085-HMS,HS-A085%,%,50
/UQ/20-Health/085-HMS,habs-hu%,%,50
/UQ/20-Health/085-HMS,hmns%,%,50
/UQ/20-Health/086-SOM,BRF%,%,50
/UQ/20-Health/086-SOM,COH%,%,50
/UQ/20-Health/086-SOM,HS-A086%,%,50
/UQ/20-Health/086-SOM,SOM%,%,50
/UQ/20-Health/086-SOM,UQHC%,%,50
/UQ/20-Health/086-SOM,mabs-me%,%,50
/UQ/20-Health/086-SOM,mbs-me%,%,50
/UQ/20-Health/087-SOMNCS,HS-A087%,%,50
/UQ/20-Health/088-SOMSCCS,HS-A088%,%,50
/UQ/20-Health/089-SOMRBCS,HS-A089%,%,50
/UQ/20-Health/089-SOMRBCS/34-COH,,,
/UQ/20-Health/090-SOMPACS,HS-A090%,%,50
/UQ/20-Health/091-SOMMCS,HS-A091%,%,50
/UQ/20-Health/092-SOMGCS,HS-A092%,%,50
/UQ/20-Health/093-SOMICS,HS-A093%,%,50
/UQ/20-Health/094-SOMWCS,HS-A094%,%,50
/UQ/20-Health/095-SOMRUSC,HS-A095%,%,50
/UQ/20-Health/096-SONM,HS-A096%,%,50
/UQ/20-Health/096-SONM,habs-nm%,%,50
/UQ/20-Health/096-SONM,habs-ns-%,%,50
/UQ/20-Health/096-SONM,nmsw%,%,50
/UQ/20-Health/097-PHARMACY,HS-A097%,%,50
/UQ/20-Health/097-PHARMACY,HS-MUSP%,%,50
/UQ/20-Health/097-PHARMACY,PHM%,%,50
/UQ/20-Health/097-PHARMACY,habs-ph%,%,50
/UQ/20-Health/098-SPH,HS-2219%,%,50
/UQ/20-Health/098-SPH,HS-A098%,%,50
/UQ/20-Health/098-SPH,SPH%,%,50
/UQ/20-Health/098-SPH,uqph%,%,50
/UQ/20-Health/098-SPH,mabs-po%,%,50
/UQ/20-Health/098-SPH,mbs-po%,%,50
/UQ/20-Health/098-SPH,mbs-pu%,%,50
/UQ/20-Health/108-UQCCR,CCR%,%,50
/UQ/20-Health/108-UQCCR,HS-A108%,%,50
/UQ/20-Health/108-UQCCR,mabs-cr%,%,50
/UQ/20-Health/108-UQCCR,mbs-cr%,%,50
/UQ/20-Health/109-ENTOX,ENTOX%,%,50
/UQ/20-Health/109-ENTOX,HS-A109%,%,50
/UQ/20-Health/109-ENTOX,habs-en%,%,50
/UQ/20-Health/111-CMVH,CMVH%,%,50
/UQ/20-Health/111-CMVH,HS-A111%,%,50
/UQ/20-Health/114-HCRC,HS-A114%,%,50
/UQ/20-Health/115-CYSAR,HS-A115%,%,50
/UQ/20-Health/115-CYSAR,habs-cy-%,%,50
/UQ/20-Health/115-CYSAR,cysr%,%,50
/UQ/20-Health/118-QCMRI,HS-A118%,%,50
/UQ/20-Health/118-QCMRI,mabs-qc%,%,50
/UQ/20-Health/118-QCMRI,mbs-qc%,%,50
/UQ/20-Health/118-QCMRI,mbs-ch%,%,50
/UQ/20-Health/118-QCMRI,chrc%,%,50
/UQ/20-Health/120-MRIUQ,,,
/UQ/21-HaBS,habs%,%,75
/UQ/21-HaBS,habs-sq%,%,50
/UQ/21-HaBS,habs-st%,%,50
/UQ/21-HaBS,star%,%,50
