Path,ComputerNameRule,ComputerDomainRule,Priority,Comments
/00-Other/0000-CSIRO CLEVELAND MARINE RESEARC,,,,
/00-Other/0000-SCH MED SCI UNSW,,,,
/00-Other/0000-TRI Building,,,,
/00-Other/0000-O2 BLOCK CENTRAL STORE USQ,,,,
/00-Other/0000-GROUND FLOOR SUITE,,,,
/00-Other/0000-ECOSCIENCE PRECINCT BASEMENT,,,,
/00-Other/0000-QAAFI Building/Level B,,,,
/00-Other/0000-QAAFI Building/Level A,,,,
/00-Other/0000-QAAFI Building/Level 1,,,,
/00-Other/0000-EMSAH L4 BLOCK C/Level C,,,,
/00-Other/0000-ALBERT EINSTEIN COLLEGE OF MED,,,,
/00-Other/0000-UQ Health Care Meadowbrook,,,,
/00-Other/0000-AusCert,,,,
/00-Other/0000-Rural Clinical School,,,,
/00-Other/0000-P&F Indooroopilly,,,,
/00-Other/0000-CSIRO PLANKTON ECO LAB - MATH,,,,
/00-Other/0000-SCHOOL OF MATHEMATICAL SCIENCE,,,,
/00-Other/0000-UQ BIOLOGICAL RES LONG POCKET,,,,
/00-Other/0000-SOLAR BIOFUELS RESEARCH,,,,
/00-Other/0000-TRI - UQ Diamantina Institute,,,,
/00-Other/0000-DALBY DENTAL CLINIC,,,,
/00-Other/0000-MORETON BAY INTEGRATED CARE,,,,
/00-Other/0000-QAAFI HERMITAGE RESEARCH,,,,
/00-Other/0000-HUNTER MEDICAL RESEARCH,,,,
/00-Other/0000-LEARNING & DISCOVERY CENTRE,,,,
/00-Other/0000-UQ PRESS,,,,
/00-Other/0000-SUNSHINE COAST CLINICAL SCHOOL,,,,
/00-Other/0000-NEWCASTLE SCHOOL OF BIOMEDICAL,,,,
/00-Other/0000-Brian Pastures Research Station,,,,
/00-Other/0000-Mater Research Institute UQ,,,,
/00-Other/0000-Whitty Building Mater Hospital,,,,
/01-St Lucia Campus/0001-Forgan Smith Building/Level 01,,,,
/01-St Lucia Campus/0001-Forgan Smith Building/Level 02,,,,
/01-St Lucia Campus/0001-Forgan Smith Building/Level 03,,,,
/01-St Lucia Campus/0001-Forgan Smith Building/Level 04,,,,
/01-St Lucia Campus/0001-Forgan Smith Building/Level 05,,,,
/01-St Lucia Campus/0001-Forgan Smith Building/Level 06,,,,
/01-St Lucia Campus/0001-Forgan Smith Building/Level 07,,,,
/01-St Lucia Campus/0002-Duhig Tower/Level 01,,,,
/01-St Lucia Campus/0002-Duhig Tower/Level 02,,,,
/01-St Lucia Campus/0002-Duhig Tower/Level 03,,,,
/01-St Lucia Campus/0002-Duhig Tower/Level 04,,,,
/01-St Lucia Campus/0002-Duhig Tower/Level 05,,,,
/01-St Lucia Campus/0002-Duhig Tower/Level 06,,,,
/01-St Lucia Campus/0002-Duhig Tower/Level 07,,,,
/01-St Lucia Campus/0002-Duhig Tower/Level 08,,,,
/01-St Lucia Campus/0002-Duhig Tower/Level 09,,,,
/01-St Lucia Campus/0003-Steele Building/Level 01,,,,
/01-St Lucia Campus/0003-Steele Building/Level 02,,,,
/01-St Lucia Campus/0003-Steele Building/Level 03,,,,
/01-St Lucia Campus/0003-Steele Building/Level 04,,,,
/01-St Lucia Campus/0003A-Steele Hut/Level 01,,,,
/01-St Lucia Campus/0004-University Bookshop/Level 01,,,,
/01-St Lucia Campus/0004-University Bookshop/Level 02,,,,
/01-St Lucia Campus/0005-Richards Building/Level 00,,,,
/01-St Lucia Campus/0005-Richards Building/Level 01,,,,
